keys,en,ja,hi
$menu_1,New Game,NEW GAME,NEW GAME
$menu_2,Options,オプション,ऑप्शंस
$menu_2_1,SFX Volume:,SFX ボリューム:,एसएफएक्स वॉल्यूम:
$menu_2_2,Music Volume:,音楽 ボリューム:,म्यूजिक वॉल्यूम:
$menu_2_3,Language:,言語:,भाषा:
$menu_3,Credits,クレジット,क्रेडिट्स
$menu_3_1,Music :  Eric Matyas - (www.soundimage.org),音楽 : エリック・マティアス - (www.soundimage.org),म्यूजिक : एरिक मत्यास - (www.soundimage.org)
$menu_3_2,Art and SFX : Brackeys and Surihix,アートとSFX: ブラッキーズ と スリヒックス,आर्ट और एसएफएक्स : ब्रैकिस और सुरिहिक्स
$menu_3_3,Game Programming : Surihix,ゲームプログラミング: スリヒックス,गेम प्रोग्रामिंग : सुरिहिक्स
$menu_back,Back,戻る,बैक
